ParameterCode,ParameterName,ParameterUnit,SiteCode,SiteName,ParameterThresholdComparison,ParameterThreshold,ParameterThresholdSource
QT-10-05,Feed Redox,mV,,,,,
QT-10-02,Feed Conductivity,müS/cm,,,,,
PT-10-01,Feed pressure NF before restriction,bar,,,,,
PT-10-02,Feed pressure NF after restriction,bar,,,,,
FT-10-01,Feed flow,m³/h,,,,,
FP-10-01,Flow Feed puls,m³,,,,,
TT-10-01,Feed temperature,°C,,,,,
LT-10-02,Feed tank Level,%,,,,,
FT-30-12,Concentrate or CEC flow,m³/h,,,,,
FP-30-12,Flow CEC puls,m³,,,,,
FT-30-13,Circulation flow,m³/h,,,,,
FP-30-123,Flow Circulation,m³,,,,,
PT-20-01,Permeat pressure,bar,,,,,
PT-10-10,Concentrate pressure,bar,,,,,
PT-10-11,Circulation pressure,bar,,,,,
QT-10-03,Circulation pH,pH,,,,,
QT-30-01,Circulation Redox,mV,,,,,
TT-10-02,Circulation Temperature,°C,,,,,
QT-10-04,Circulation Conductivity,müS/cm,,,,,
QT-20-01,Permeat Conductivity,müS/cm,,,,,
QT-20-02,Permeat Redox,mW,,,,,
FT-40-02,Air flow,m³/h,,,,,
FT-20-01,Backwash flow,m³/h,,,,,
FP-20-01,Backwash flow puls,m³,,,,,
PT-20-02,Backwash pressure before restriction,bar,,,,,
PT-20-03,Backwash pressure after restriction,bar,,,,,
LT-20-01,Level Backwash / permeat,%,,,,,
QT-10-01-turb,Feed Turbidity,NTU,,,,,
QT-10-01-uv,Feed UV254,Abs/m,,,,,
QT-10-01-col,Feed Color,Hazen,,,,,
QT-20-03-turb,Permeate Turbidity,NTU,,,,,
QT-20-03-uv,Permeate UV254,Abs/m,,,,,
QT-20-03-col,Permeate Color,Hazen,,,,,
FY-20-01,Filtration flow,m³/h,,,,,
FPY-20-01,Filtration volume,m³,,,,,
QY-20-01,Filtration flux,l/m²/h,,,,,
FY-20-02,Flush flow,m³/h,,,,,
PY-20-01,TMP,bar,,,,,
QY-20-03,Permeability 2,l/m³/h/bar,,,,,
QY-20-04,Temperature correction factor,-,,,,,
QY-20-05,Crossflow velocity 2,m/s,,,,,
QY-20-06,Retention conductivity,%,,,,,
PY-20-02,Pressure drop,bar,,,,,
OM,Operation Mode,-,,,,,
Crossflow,Crossflow velocity,m/s,,,,,
TMP,Trans membrane pressure (TMP),bar,,,,,
TMP_TC,TMP temperature corrected,bar,,,,,
Pressure Drop,Pressure drop temperature,bar,,,,,
Permeability,Permeability,l/m³/h/bar,,,,,
Resistance,Resistance,*10^12 (1/m),,,,,
Flux,Flux,l/m³/h,,,,,
Ret EGV,Retention EGV,%,,,,,
Viscosity,Viscosity,Pa*s,,,,,
TCF,Temperature correction factor 2,-,,,,,
P-10-01,P-10-01,,,,,,
P-30-12,P-30-12,,,,,,
P-30-13,P-30-13,,,,,,
P-20-01,P-20-01,,,,,,
P-51-01,P-51-01,,,,,,
P-52-01,P-52-01,,,,,,
P-53-01,P-53-01,,,,,,
P-54-01,P-54-01,,,,,,
PILOTMODE,PILOTMODE,,,,,,
OM_1,OM_2,,,,,,
SV Filtration time,SV Filtration time,,,,,,
SV Filtration flux,SV Filtration flux,,,,,,
SV Crossflow velocity,SV Crossflow velocity,,,,,,
Coagulant dosing,Coagulant dosing,,,,,,
SV Coagulant stock,SV Coagulant stock,,,,,,
TempProg1,TempProg1,,,,,,
